anio,detalle_gasto,pia,pim,certificado,comprometido,devengado,girado,ejecucion_pct_dev_pim,fuente,url,fecha_descarga
2018,OTROS GASTOS DE ACTIVOS NO FINANCIEROS,184000.0,214696.0,214694.64,214694.64,214694.64,214694.64,100.0,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2018,PAGO DE SENTENCIAS JUDICIALES Y LAUDOS ARBITRALES,1290117.0,3875937.0,3833935.36,3746139.49,3746139.49,3746139.49,96.65,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2018,PENSIONES,20347513.0,20572241.0,20542005.38,20536112.4,20533375.45,20531065.57,99.81,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2018,PERSONAL ADMINISTRATIVO,31306847.0,28877574.0,28604314.33,28527076.53,28520485.23,28512592.58,98.76,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2018,REPUESTOS Y ACCESORIOS,141112.0,204530.0,182384.09,182362.99,182362.99,181050.99,89.16,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2018,RETRIBUCIONES EN BIENES O SERVICIOS,1668728.0,2072714.0,2072388.7,2063476.05,2063476.05,2063476.05,99.55,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2018,"SERVICIO DE MANTENIMIENTO, ACONDICIONAMIENTO Y  REPARACIONES",2825617.0,7856734.0,7470073.31,7390098.67,7370129.42,7280934.8,93.81,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2018,"SERVICIOS ADMINISTRATIVOS, FINANCIEROS Y DE SEGUROS",1730100.0,1419454.0,1408267.54,1405684.47,1400514.47,1398656.96,98.67,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2018,"SERVICIOS BASICOS, COMUNICACIONES, PUBLICIDAD Y DIFUSION",7769203.0,8424453.0,7745225.63,7663199.01,7557934.78,7388331.74,89.71,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2018,"SERVICIOS DE LIMPIEZA, SEGURIDAD Y VIGILANCIA",13678980.0,11507383.0,11497016.02,11431370.16,11431053.64,11431053.64,99.34,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
