anio,departamento_meta,pia,pim,certificado,comprometido,devengado,girado,ejecucion_pct_dev_pim,fuente,url,fecha_descarga
2022,APURIMAC,4983616.0,5317873.0,5259797.6,5247038.57,5247038.57,5238994.23,98.67,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2022-Gasto-Devengado.csv,2026-09-08
2022,AREQUIPA,23480827.0,24146252.0,23814134.55,23693158.6,23693158.6,23675284.57,98.12,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2022-Gasto-Devengado.csv,2026-09-08
2022,AYACUCHO,7382057.0,8604860.0,8509764.82,8500437.92,8500437.92,8493341.28,98.79,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2022-Gasto-Devengado.csv,2026-09-08
2022,CAJAMARCA,5511341.0,6669766.0,6594403.91,6583734.8,6583734.8,6575754.18,98.71,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2022-Gasto-Devengado.csv,2026-09-08
2022,CUSCO,14933195.0,16549360.0,16395361.66,16351716.2,16351716.2,16333206.67,98.81,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2022-Gasto-Devengado.csv,2026-09-08
2022,HUANCAVELICA,4299844.0,5343509.0,5284055.58,5270245.96,5270245.96,5262201.43,98.63,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2022-Gasto-Devengado.csv,2026-09-08
2022,HUANUCO,7545707.0,8662031.0,8451693.55,8384564.53,8384564.53,8379536.01,96.8,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2022-Gasto-Devengado.csv,2026-09-08
2022,ICA,11646392.0,13771888.0,13605613.6,13571459.68,13571459.68,13556746.88,98.54,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2022-Gasto-Devengado.csv,2026-09-08
2022,JUNIN,10595209.0,12237205.0,12031768.91,11979226.89,11979226.89,11967582.46,97.89,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2022-Gasto-Devengado.csv,2026-09-08
2022,LA LIBERTAD,13631004.0,13910176.0,13742000.95,13716273.83,13716273.83,13700492.5,98.61,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2022-Gasto-Devengado.csv,2026-09-08
2022,LAMBAYEQUE,11567600.0,11982958.0,11850052.45,11846589.31,11846589.31,11843129.51,98.86,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2022-Gasto-Devengado.csv,2026-09-08
2022,LIMA,486101105.0,502777689.0,492073614.19,490110733.3,490067613.53,489531526.17,97.47,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2022-Gasto-Devengado.csv,2026-09-08
2022,LORETO,9161609.0,10736316.0,10588741.1,10572809.31,10572809.31,10565278.82,98.48,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2022-Gasto-Devengado.csv,2026-09-08
2022,MADRE DE DIOS,5948130.0,6359663.0,6238034.6,6206735.16,6206735.16,6204630.72,97.6,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2022-Gasto-Devengado.csv,2026-09-08
2022,MOQUEGUA,4828667.0,4895922.0,4836406.69,4816616.0,4816616.0,4814445.19,98.38,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2022-Gasto-Devengado.csv,2026-09-08
2022,PASCO,2363087.0,2695356.0,2678769.8,2677783.51,2677783.51,2674458.4,99.35,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2022-Gasto-Devengado.csv,2026-09-08
2022,PIURA,8992768.0,9832733.0,9780892.41,9768038.18,9768038.18,9757710.66,99.34,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2022-Gasto-Devengado.csv,2026-09-08
2022,PROVINCIA CONSTITUCIONAL DEL CALLAO,15665182.0,15170737.0,14980784.77,14907528.98,14907528.98,14891437.0,98.27,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2022-Gasto-Devengado.csv,2026-09-08
